epoch,loss,val_loss
0,0.2834497392177582,0.25999999046325684
1,0.13281811773777008,0.25
2,0.1274443417787552,0.25
3,0.1273324191570282,0.25
4,0.1273324191570282,0.25
5,0.1273324191570282,0.25
6,0.1273324191570282,0.25
7,0.1273324191570282,0.25
8,0.1273324191570282,0.25
9,0.1273324191570282,0.25
10,0.1273324191570282,0.25
11,0.1273324191570282,0.25
12,0.1273324191570282,0.25
13,0.1273324191570282,0.25
14,0.1273324191570282,0.25
15,0.1273324191570282,0.25
16,0.1273324191570282,0.25
17,0.1273324191570282,0.25
18,0.1273324191570282,0.25
19,0.1273324191570282,0.25
20,0.1273324191570282,0.25
21,0.1273324191570282,0.25
22,0.1273324191570282,0.25
23,0.1273324191570282,0.25
24,0.1273324191570282,0.25
25,0.1273324191570282,0.25
26,0.1273324191570282,0.25
27,0.1273324191570282,0.25
28,0.1273324191570282,0.25
29,0.1273324191570282,0.25
30,0.1273324191570282,0.25
31,0.1273324191570282,0.25
32,0.1273324191570282,0.25
33,0.1273324191570282,0.25
34,0.1273324191570282,0.25
35,0.1273324191570282,0.25
36,0.1273324191570282,0.25
37,0.1273324191570282,0.25
38,0.1273324191570282,0.25
39,0.1273324191570282,0.25
40,0.1273324191570282,0.25
41,0.1273324191570282,0.25
42,0.1273324191570282,0.25
43,0.1273324191570282,0.25
44,0.1273324191570282,0.25
45,0.1273324191570282,0.25
46,0.1273324191570282,0.25
47,0.1273324191570282,0.25
48,0.1273324191570282,0.25
49,0.1273324191570282,0.25
50,0.1273324191570282,0.25
51,0.1273324191570282,0.25
52,0.1273324191570282,0.25
53,0.1273324191570282,0.25
54,0.1273324191570282,0.25
55,0.1273324191570282,0.25
56,0.1273324191570282,0.25
57,0.1273324191570282,0.25
58,0.1273324191570282,0.25
59,0.1273324191570282,0.25
60,0.1273324191570282,0.25
61,0.1273324191570282,0.25
62,0.1273324191570282,0.25
63,0.1273324191570282,0.25
64,0.1273324191570282,0.25
65,0.1273324191570282,0.25
0,0.12664760649204254,0.20147481560707092
1,0.11090923100709915,0.2020888775587082
2,0.10850078612565994,0.19043506681919098
3,0.1071992889046669,0.18798577785491943
4,0.10661943256855011,0.19260534644126892
5,0.10497274994850159,0.18836967647075653
6,0.10388177633285522,0.17891660332679749
7,0.10349861532449722,0.17455331981182098
8,0.10333823412656784,0.1866118609905243
9,0.10215289890766144,0.18138906359672546
10,0.10219892859458923,0.1740642935037613
11,0.10209716111421585,0.17132370173931122
12,0.10103826224803925,0.16692906618118286
13,0.09933553636074066,0.18951408565044403
14,0.09925499558448792,0.17492064833641052
15,0.09903860837221146,0.18004396557807922
16,0.09781945496797562,0.17108401656150818
17,0.09794390201568604,0.17543667554855347
18,0.09710629284381866,0.17174869775772095
19,0.09614280611276627,0.17025254666805267
20,0.09547650814056396,0.15780729055404663
21,0.09400156140327454,0.1735650897026062
22,0.09374735504388809,0.1667669713497162
23,0.09321947395801544,0.16674724221229553
24,0.09194397181272507,0.16292017698287964
25,0.09157714992761612,0.15012256801128387
26,0.0909513458609581,0.15355244278907776
27,0.09159421175718307,0.15927371382713318
28,0.0907483845949173,0.14368002116680145
29,0.08959898352622986,0.15146446228027344
30,0.08910435438156128,0.15415751934051514
31,0.08874552696943283,0.15431426465511322
32,0.08864031732082367,0.16378363966941833
33,0.08766435086727142,0.14896129071712494
34,0.08706916868686676,0.139412984251976
35,0.08646193891763687,0.15954013168811798
36,0.08566860854625702,0.1427663266658783
37,0.08523344993591309,0.1427350640296936
38,0.08391104638576508,0.16410759091377258
39,0.08413781970739365,0.15026411414146423
40,0.08407296240329742,0.14783057570457458
41,0.08342205733060837,0.14763368666172028
42,0.08251459896564484,0.1541174352169037
43,0.08183509856462479,0.14895765483379364
44,0.08207864314317703,0.1345800757408142
45,0.08262287080287933,0.15340031683444977
46,0.08363255858421326,0.148988738656044
47,0.08327127248048782,0.14303141832351685
48,0.08214054256677628,0.14016419649124146
49,0.08101730793714523,0.14961394667625427
50,0.08151906728744507,0.13812096416950226
51,0.08098156005144119,0.1335497498512268
52,0.08147469162940979,0.1480662226676941
53,0.0814204066991806,0.15262748301029205
54,0.08103179931640625,0.14636477828025818
55,0.07952126860618591,0.13806916773319244
56,0.0803586095571518,0.13379475474357605
57,0.07869245111942291,0.13615299761295319
58,0.07838095724582672,0.12957121431827545
